Participant ID,How many cups did you record for your first observation?,How many cups did you record for your second observation?,How many cups did you record for your third observation?
f3c892d088b5e7e6e76205081e5e1a7d1111968a,14,0,21
a27adbcf5181f3d2ecf1c5da936c2cb9e5a6aa94,12,10,0
fbc05b88a5cd2963c7d55d9533013833e2112a11,4,10,0
55870bc6334c9c7dda260283fb2ba56eeabc5ced,9,20,0
29a05a2b8ef87ca95120ea084f9b3cbe5cff343a,20,9,4
527115e2d5c644aa7f464189554b002f1291f5bc,7.33,4,20
5c6b5fb809dcccf096cf0a7a9858a69ee3092889,14,4,2
62183631e6201c894cf97c3cdab6c8bfa27085ca,12,10,4
f7b621c9bcef12025f8c132f23e75a93b723fc83,10,14,0
6d0ba19792e8b7e57de9a4bae4cd1048f6f3026b,12,4,0
34f7303956c0915009c4636c222d3258095ae404,5,2,15
7443da471aa268857d1683174ee33a64f1204c5e,9,0,5
ef315f90d1d16099f30b30ce760987ac703ac70b,4.5,21,15
5f2d4479071dd1b18243a8b83a549dec8636ee36,15,4,10
27e44afd234e6739e57a7fc4aa9205ea5e1048c8,9,14,4
3aa08af2c838898338dc3abac1f8dbfd84bf07e8,10,4,4
4f318e664e4813238163a2c0346ef42e8a1d883c,4,15,4
4b5b792235f33749f14a8153a34c93a79f8306ce,7.33,10,15